"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Parker, Mitchell",680730,2025,164.2,725,178,25,103,14.2,8,0.273,0.466,0.331,0.797,104,116,494,9,16,5.68,113,104,153,397,232,922,1783,254,4,0.301,0.492,0.342,0.367,0.358,37.5,9.6,9.1,50,82.50265848,95.8351606,19.6,51.2,55.5,93,2168,5.8,-13.8,1.3,11.9,85,2267,-4.7,-35.2,,,,,,22,81.1,2280,-0.7,-48.3,,,,,,,,,,,10.6,85.4,975,6.8,-28.5,,,,,,,,,
"Hendricks, Kyle",543294,2025,164.2,695,167,25,114,16.4,6.2,0.262,0.447,0.311,0.758,87,92,494,8,10,4.76,113,78,125,480,204,858,1715,207,0,0.249,0.404,0.324,0.309,0.303,32.6,8.3,4.9,34.3,73.6732503,93.31089279,18.3,48,15.2,86.5,2049,-5.8,-22.4,1.1,,,,,,38.4,79.5,2077,-10.9,-34.8,8.2,72.2,2823,15.7,-63.3,38.2,86.2,1982,-13.9,-29.6,,,,,,,,,,,,,,,,,,,
"Lugo, Seth",607625,2024,206.2,836,177,16,181,21.7,5.7,0.229,0.353,0.281,0.634,69,75,620,16,9,3,151,61,151,581,275,1079,2033,295,0,0.243,0.389,0.278,0.3,0.295,32.8,8,6.2,39,77.29927895,93.99401736,22.5,46.7,24,92.2,2368,-6.7,-16.6,1.6,9.3,86.7,2652,4.3,-31.7,6.7,87.3,1854,-15.3,-31.5,16.1,79.8,3284,14.6,-58,18.5,92.1,2410,-15.3,-23.7,8.5,90,2438,0.4,-21.8,2.8,85.9,1431,-10.6,-32.4,,,,,,82.1,2843,13.5,-37.9
"Arrighetti, Spencer",681293,2024,145,632,139,21,171,27.1,10.3,0.25,0.424,0.334,0.758,73,80,435,7,13,4.53,111,68,111,430,290,893,1612,307,0,0.23,0.385,0.332,0.312,0.317,38.3,7.7,8.2,39.8,77.93434862,94.12462185,27.7,47.2,40.6,94.1,2306,-11.8,-15.7,1.3,0.1,82.9,2562,6.2,-30.5,8.6,85.5,1675,-15,-32.6,19.9,78.4,2811,14.6,-53.6,0.4,94.1,2298,-15.7,-18.9,19.6,88.1,2498,3.2,-27,,,,,,,,,,,80.8,2800,14.7,-40.5
"Woo, Bryan",693433,2025,186.2,731,137,26,198,27.1,4.9,0.2,0.353,0.243,0.596,61,64,560,15,7,2.94,108,59,118,392,334,877,1837,337,0,0.217,0.365,0.259,0.273,0.26,32.5,9.1,6.3,41.8,77.56713498,94.55663257,26.2,53.2,47.3,95.7,2296,-9.7,-15.1,1.1,10.1,88.5,2226,2.9,-29.8,7.1,89.6,1827,-16.2,-29.6,,,,,,25.6,95.4,2303,-16.6,-24.1,,,,,,,,,,,,,,,,85.1,2485,10.6,-34
"Rodriguez, Eduardo",593958,2025,154.1,694,178,25,143,20.6,8.6,0.286,0.475,0.347,0.822,86,94,463,9,9,5.02,127,85,153,404,243,965,1624,247,0,0.262,0.423,0.353,0.327,0.327,35.8,8.2,7,35.2,76.81473429,93.89672766,23,47.1,45.5,92,2304,5.5,-17.2,1.2,5,84.1,2177,-3.9,-36.7,20.4,85.9,1933,15.9,-31,3.6,78.6,2357,-5.9,-51.5,9.7,91.5,2286,12,-20.4,15.7,89.3,2266,-1,-24.6,,,,,,,,,,,,,,
"Alcantara, Sandy",645261,2025,174.2,745,165,22,142,19.1,7.7,0.247,0.404,0.31,0.714,104,107,524,11,12,5.36,116,104,170,475,265,984,1907,270,0,0.265,0.427,0.311,0.331,0.329,33,8.6,5.6,45,80.16251258,95.03804734,20.9,49.5,17.5,97.7,2287,-14.1,-15.9,1.4,15.8,89.4,2353,0.9,-29.4,23.2,90.4,2088,-17.5,-28.8,18,85.3,2442,2.7,-39,25.5,97.2,2322,-17.4,-20.7,,,,,,,,,,,,,,,,,,,
"Glasnow, Tyler",607192,2024,134,522,92,15,168,32.2,6.7,0.19,0.347,0.244,0.591,52,53,402,9,6,3.49,77,48,96,335,242,702,1309,277,0,0.195,0.324,0.258,0.254,0.249,32.5,8.5,5,40.1,78.13629815,94.13942642,30.9,48.4,45.2,96.3,2556,-0.3,-13.1,1.2,27.7,90,2714,2.5,-33.1,,,,,,18.6,83.7,2748,3.3,-51.1,8.5,96.5,2509,-10.7,-14.9,,,,,,,,,,,,,,,,,,,
"Peralta, Freddy",642547,2024,173.2,725,143,26,200,27.6,9.4,0.224,0.387,0.307,0.694,71,74,521,11,9,3.68,130,66,121,427,391,1200,1866,403,0,0.224,0.377,0.305,0.305,0.308,35.3,8.7,7.6,36.9,75.95026724,93.64080975,31.1,46.9,53.8,94.3,2436,-6.8,-14.2,1.9,21.6,81.5,2345,7.6,-39.1,17.5,87.7,1731,-15.5,-31.3,7.1,78.1,2204,4.6,-49.7,0.1,95.3,2554,-5,-13.6,,,,,,,,,,,,,,,,,,,
"Giolito, Lucas",608337,2025,145,613,131,17,121,19.7,9.1,0.239,0.377,0.309,0.686,55,62,435,10,4,3.41,116,53,114,388,230,861,1507,235,0,0.268,0.458,0.301,0.345,0.336,38.3,9,7.4,41.1,79.59926968,94.77728954,22.9,47.3,48.4,93.3,2231,-6.8,-13.5,1.3,25.6,86,1966,2.4,-32.2,22.6,81.7,1673,-13.2,-28.4,3.5,78.6,2471,5.9,-60.2,,,,,,,,,,,,,,,,,,,,,,,,
"Gilbert, Logan",669302,2025,131,535,104,20,173,32.3,5.8,0.211,0.377,0.266,0.643,50,53,393,6,6,3.44,81,47,104,328,303,727,1429,336,0,0.207,0.359,0.28,0.273,0.264,32.1,8.6,5.6,41.7,81.14405739,94.674261,32.9,51.1,36.1,95.4,2115,-8.4,-13.6,1.2,35.3,87.5,1820,0.7,-35.2,,,,,,7.5,82.1,2183,12.9,-43.9,1.5,95.5,2162,-14.2,-16.2,,,,,,19.6,81.7,727,-4.8,-42.1,,,,,,,,,
"Cannon, Jonathan",686563,2024,124.1,522,125,18,91,17.4,7.7,0.263,0.44,0.324,0.764,62,65,373,5,10,4.49,91,57,82,320,183,753,1275,185,0,0.258,0.412,0.332,0.323,0.321,38.3,7.3,6.5,36.3,78.71918891,93.82391133,21.8,47.1,12.3,94.3,2195,-9.1,-16.8,1.4,,,,,,18.7,85.7,1710,-13.9,-36.7,,,,,,28,93.3,2084,-15.4,-26.8,19.2,90.2,2300,-1.7,-25.4,,,,,,,,,,,81.9,2594,12.5,-38.2
"Mize, Casey",663554,2025,149,627,153,21,139,22.2,5.7,0.263,0.437,0.307,0.744,64,68,447,14,6,3.87,102,64,122,383,247,803,1550,255,0,0.237,0.4,0.319,0.295,0.283,36.1,9.1,6.7,42.5,79.39468978,94.59071306,24.1,49.6,34,94.6,2251,-8.1,-13.5,1.5,15.3,88.5,2190,2.3,-29.9,,,,,,,,,,,12.2,94.7,2215,-14.1,-17,,,,,,24.2,88.6,1445,-14.4,-30.5,,,,,,83.5,2112,12.1,-34.4
"Sugano, Tomoyuki",608372,2025,157,675,173,33,106,15.7,5.3,0.276,0.478,0.321,0.799,81,85,471,10,10,4.64,109,80,124,415,191,945,1620,203,0,0.294,0.52,0.342,0.368,0.339,38.5,11.8,5.3,39.8,79.55756415,94.37679225,18.5,47,19.1,92.7,2391,-5.8,-15.2,1.3,,,,,,,,,,,9.7,78.2,2674,9.1,-57.1,15.9,92.9,2281,-14.2,-19.8,12,88.2,2471,1.6,-29.4,23.5,87.3,1590,-11.8,-30.2,,,,,,83.6,2599,11.2,-36.8
"Imanaga, Shota",684007,2025,144.2,567,117,31,117,20.6,4.6,0.218,0.432,0.254,0.686,60,62,434,9,8,3.73,74,58,63,301,255,704,1472,260,0,0.237,0.458,0.293,0.312,0.273,34.3,11.6,9.2,43.5,80.55181529,94.86901651,24.6,53.8,48.7,90.8,2482,11.9,-15.5,1.1,0.4,81.4,2579,-2,-35.6,,,,,,1.6,71.6,2495,-10.6,-66.8,1.3,88.2,1781,14.7,-25.9,,,,,,31.4,83,1277,13,-33.1,,,,,,80.4,2533,-11.9,-40.7
"Pfaadt, Brandon",694297,2024,181.2,760,183,24,185,24.3,5.5,0.259,0.421,0.302,0.723,95,103,545,11,10,4.71,114,94,150,492,315,925,1868,318,0,0.246,0.397,0.312,0.301,0.291,33,8.1,4.7,39.4,78.68491487,94.22494248,25.4,49.3,33.3,93.8,2557,-5.6,-16.1,1.3,,,,,,11.3,87.5,2074,-15.5,-32,5.3,80.8,2599,12.8,-50.1,22.2,93.7,2398,-15.1,-24.6,,,,,,0.6,89.6,1641,-4.1,-25.7,,,,,,84.8,2838,11.3,-31.5
"Peterson, David",656849,2025,168.2,723,166,11,150,20.7,9,0.258,0.37,0.331,0.701,79,84,506,9,6,4.22,127,76,147,472,257,965,1734,281,0,0.273,0.4,0.311,0.331,0.347,34.4,6.4,6.6,46,79.61366252,95.237706,24,46.8,22.6,92.2,2132,4.7,-18.7,1.4,19.1,84.6,2314,-2.5,-38.2,15.3,84.6,1567,14.6,-33.8,13.7,78.7,2361,-6.5,-52.6,29.2,91.3,2123,14.7,-25.3,,,,,,,,,,,,,,,,,,,
"Suárez, Albert",544150,2024,133.2,565,130,17,108,19.1,7.6,0.255,0.425,0.314,0.739,55,56,401,9,7,3.7,109,53,121,268,238,840,1394,243,4,0.243,0.406,0.32,0.311,0.305,38,7.1,7.8,38.4,78.43772292,93.66416911,24.6,50.4,50,94.8,2385,-7,-14.1,1.2,,,,,,17.2,86.1,2017,-16.3,-29.1,13.1,79,2359,5.7,-50.8,,,,,,19.5,86.3,2198,2.6,-28.6,,,,,,,,,,,,,,
"Quintana, Jose",500779,2025,131.2,556,120,18,89,16,9,0.241,0.382,0.315,0.697,58,65,395,11,7,3.96,94,61,97,389,142,845,1329,150,0,0.273,0.451,0.308,0.348,0.345,35,9.7,6.8,41.7,77.28431517,94.32360435,18.4,43.2,11.7,90.4,2095,4.5,-17.5,1.1,,,,,,22.1,85.6,1354,14.7,-33.8,14.5,78.2,2178,-6,-50.7,44,90.5,2094,13.8,-21.5,,,,,,,,,,,,,,,,,,,
"Bibee, Tanner",676440,2025,182.1,762,170,27,162,21.3,7.1,0.246,0.412,0.308,0.72,86,93,547,12,11,4.24,126,85,125,528,281,1066,1904,296,0,0.23,0.382,0.313,0.298,0.295,29.5,8,6,36.6,77.49746352,93.88460744,23.8,46.3,27.3,94.4,2243,-5.5,-16.1,1.3,,,,,,15.2,81.8,1965,-12,-29.5,5.1,79.7,2666,10.4,-51.8,15.7,94.1,2226,-14,-21.3,20.9,86.2,2705,8,-33.6,,,,,,,,,,,83,2675,16,-42
"Steele, Justin",657006,2024,134.2,555,111,12,135,24.3,6.7,0.219,0.336,0.276,0.612,46,54,404,5,5,3.07,87,47,99,351,210,641,1405,219,0,0.212,0.304,0.271,0.258,0.271,30.9,4.2,4.7,33.2,75.73132658,93.08331992,23.7,51.5,59.7,91.6,2419,0.3,-19.2,1.5,29.7,83.3,2718,-12.3,-38.7,3.2,86.2,1625,12.3,-28.9,2.2,79.9,2726,-10.7,-51,5.2,91.5,2387,12.4,-22.9,,,,,,,,,,,,,,,,,,,
"Pallante, Andre",669467,2025,162.2,715,173,21,111,15.5,8.7,0.27,0.431,0.337,0.768,96,109,488,6,15,5.31,121,95,187,407,230,1064,1656,261,0,0.262,0.401,0.334,0.322,0.331,28.7,6.5,4.9,39.9,77.92868763,94.45879468,22.3,45.9,44,94.5,2303,-0.3,-20.5,1.3,28.6,87.4,2405,4.7,-36.4,,,,,,14,78.2,2804,3.7,-61.2,13.2,95,2202,-10.3,-16.4,,,,,,,,,,,,,,,,85,2527,12,-41.1
"Crawford, Kutter",676710,2024,183.2,759,155,34,175,23.1,6.7,0.223,0.419,0.284,0.703,89,97,551,9,16,4.36,102,81,116,443,325,911,1912,342,0,0.224,0.412,0.304,0.304,0.285,33.4,9.9,5.9,36.3,77.71061707,93.64627936,25.3,52,33.7,92.6,2505,-7.6,-12.4,1.1,,,,,,,,,,,7.2,77.3,2198,7.9,-59.8,,,,,,32.1,87.5,2493,5.1,-26.9,8.6,82.4,1102,-7.1,-31.7,,,,,,80.8,2271,12.8,-40.3
"Waldron, Matt",663362,2024,146.2,625,145,21,133,21.3,6.4,0.255,0.43,0.315,0.745,80,84,440,7,11,4.91,102,74,133,459,210,880,1570,213,1,0.246,0.405,0.323,0.313,0.308,33.9,7,6.4,35,77.17745051,93.58547759,20.8,45.3,18.7,90.7,2063,-9.1,-19,1.4,,,,,,,,,,,,,,,,14.6,90,1972,-15.6,-25.8,8.7,87.1,2194,0.8,-26.3,,,,,,38.2,77.6,244,-5.6,-49.6,79.3,2188,13.3,-39
"Lorenzen, Michael",547179,2025,141.2,606,149,25,127,21,6.4,0.268,0.47,0.32,0.79,73,76,425,7,11,4.64,99,69,116,362,227,842,1476,240,0,0.263,0.446,0.339,0.332,0.317,36.6,8.8,6,39.2,78.77073139,94.0562059,23.4,48.1,21.9,93.9,2339,-11.4,-16.1,1.4,12.3,85.1,2578,2.9,-37.8,17.3,83.7,1982,-15.3,-30.3,11.3,82.2,2530,2.3,-52.7,18.2,93,2198,-16.6,-23.6,10.9,90.2,2519,-1.1,-25.2,,,,,,,,,,,82.3,2557,12.6,-41.5
"Soriano, José",667755,2025,169,724,158,12,152,21,10.8,0.249,0.353,0.335,0.688,80,89,507,10,11,4.26,137,74,144,460,284,1078,1706,315,0,0.246,0.364,0.309,0.313,0.334,26.8,7.2,5.1,48.2,79.97423925,95.94638515,27,44.8,8.6,97.9,2225,-8.5,-15.3,1.2,6.1,89.1,2428,2,-34.6,0.4,86.9,1221,-5.8,-37.1,26.6,85.2,2489,12.5,-47.9,49.1,97.2,1922,-13.3,-25.8,,,,,,9.2,92.3,1479,-10.3,-32.5,,,,,,,,,
"Pepiot, Ryan",686752,2025,167.2,679,134,26,167,24.6,9,0.221,0.404,0.297,0.701,72,77,503,11,12,3.86,106,71,125,385,303,962,1737,316,0,0.227,0.387,0.306,0.307,0.305,36.6,9.7,8.1,42.5,79.1526625,94.907501,26,50.1,45.1,95.2,2413,-7.8,-11.2,1.2,17.2,89,2591,6.8,-25.5,25,86.8,2506,-14.4,-34.1,3.3,80.8,2947,16.2,-53.5,2.4,94.9,2391,-13.3,-15.1,7,91.5,2516,2.8,-18.6,,,,,,,,,,,,,,
"Gilbert, Logan",669302,2024,208.2,803,148,26,220,27.4,4.6,0.196,0.353,0.236,0.589,75,83,626,9,12,3.23,96,75,122,463,398,1047,1995,453,0,0.224,0.369,0.255,0.276,0.263,33,7.2,5.7,39.3,78.97606713,94.3861328,31.7,50.4,30.8,96.6,2034,-7,-13.1,1.4,32,88.4,1908,1,-35.2,,,,,,11.8,83.2,2278,13.5,-43.6,1.5,95.6,1957,-15,-19.5,10.6,92.3,2245,3,-20.2,13.4,84.5,640,-5.9,-38,,,,,,,,,
"Kelly, Merrill",518876,2025,184,748,157,23,167,22.3,6.4,0.226,0.384,0.277,0.661,72,79,552,12,9,3.52,107,73,127,465,288,972,1861,301,0,0.253,0.423,0.288,0.316,0.303,32.4,9.2,7.3,43.5,79.11616336,94.90859422,24.1,49.3,22.9,91.8,2368,-9.5,-17.8,1.5,7,85.8,2367,2.1,-33.7,26.5,88.3,2157,-15.1,-35.1,9.7,81.7,2616,8.4,-51.1,13.4,92.2,2227,-16.6,-26.5,20.5,90.6,2367,-3,-21.3,,,,,,,,,,,,,,
"Martinez, Nick",607259,2025,165.2,683,158,22,116,17,6.1,0.254,0.435,0.304,0.739,82,86,497,11,14,4.45,103,75,118,455,210,908,1670,218,3,0.258,0.399,0.317,0.309,0.309,37,6.9,5,34.5,78.23181311,93.26737575,19.9,47.1,20.8,92.6,2316,-5.4,-14.2,1.1,10.2,84.9,2433,0.6,-36,19.8,78.5,2010,-11.2,-39.4,11,79.8,2586,2,-59.8,17.1,92.5,2293,-13.1,-17.8,21.2,89.1,2365,1.9,-22.9,,,,,,,,,,,,,,
"Civale, Aaron",650644,2024,161,689,158,29,149,21.6,7.5,0.252,0.44,0.314,0.754,78,82,483,8,9,4.36,118,70,101,509,229,969,1730,240,0,0.242,0.392,0.327,0.309,0.307,36.5,7.3,9.8,39.4,79.15200724,94.00241371,21.9,45.2,9.7,92,2389,-5,-14,1.1,1.5,83.4,2789,7.1,-40.6,,,,,,15.7,77.1,3124,13,-63.8,24.2,92.6,2242,-13.8,-19.2,32.2,88.1,2608,3.8,-27.5,2,85.6,1973,-16.1,-28.9,,,,,,80.2,2997,17.3,-45.1
"Irvin, Jake",663623,2024,187.2,769,173,29,156,20.3,6.8,0.244,0.428,0.299,0.727,92,97,563,10,14,4.41,122,91,145,509,285,1061,1985,291,0,0.252,0.429,0.314,0.32,0.307,33,9.2,7.4,39.1,77.53767527,94.34142227,22.3,48.5,37.7,93.9,2377,-10.1,-16.6,1.4,0.3,85.9,2579,6.3,-34,3.4,88.4,2225,-16,-30.4,31.3,81.1,2534,12,-44.4,20.7,93.3,2299,-16.5,-24.7,6.6,89.9,2551,-0.5,-26.1,,,,,,,,,,,,,,
"Houck, Tanner",656557,2024,178.2,743,156,11,154,20.7,6.5,0.231,0.32,0.296,0.616,62,75,536,9,10,3.12,135,61,150,528,261,926,1809,268,0,0.257,0.384,0.276,0.312,0.321,30.2,5.7,6.1,41.8,78.48931239,94.43070397,22.6,46.8,0.1,95.1,2274,-12.9,-23.5,1.5,,,,,,,,,,,,,,,,32.1,93.5,2191,-16,-30.9,1.5,87.1,2347,0.5,-35.2,24.9,88.4,1836,-13.5,-37.9,,,,,,83.2,2534,16.7,-41.7
"Spence, Mitch",687765,2024,151.1,651,165,20,126,19.4,6.8,0.276,0.455,0.331,0.786,77,79,454,8,10,4.58,109,71,142,343,236,882,1599,260,1,0.251,0.408,0.34,0.314,0.308,30.9,8.4,5.1,41.7,78.96046477,94.18502114,22.5,50.6,,,,,,,32.7,84.3,2761,14.8,-39.4,1.1,88.4,1449,-8.9,-31.4,12.1,80.4,2805,11.3,-56,14.6,91.9,1729,-8.2,-27.4,39.6,90.7,2590,3.8,-27.4,,,,,,,,,,,,,,
"Heaney, Andrew",571760,2024,160,693,159,23,159,22.9,5.9,0.251,0.41,0.307,0.717,76,84,480,5,14,4.28,121,71,121,416,320,941,1790,330,0,0.253,0.434,0.312,0.325,0.312,37.4,8.3,7.9,40.1,78.99058224,94.38834762,26.3,50.3,51.2,91.6,2401,15.7,-19.2,1.2,27.2,82.6,2509,-2.2,-39,16.9,83.7,2105,17.4,-33.7,3.6,75.5,2536,-9.2,-54.9,0.3,92.2,2443,19.5,-28,0.2,84.7,2373,5.1,-33,,,,,,,,,,,,,,
"Bello, Brayan",678394,2024,162.1,702,157,19,153,21.8,9.1,0.252,0.394,0.33,0.724,81,84,487,14,8,4.49,123,74,145,454,304,1000,1710,309,0,0.256,0.4,0.319,0.328,0.336,34.2,7.4,5.5,41.1,76.38463098,94.52406767,25.9,46.3,4.7,95.7,2192,-8.9,-17.2,1.3,0.3,88.1,2276,-0.1,-38.2,26.9,87.6,1810,-16.1,-32.5,,,,,,40.3,95.7,2046,-17.2,-26,,,,,,,,,,,,,,,,86.8,2364,7.9,-36.8
"Castillo, Luis",622491,2025,180.2,745,168,23,162,21.7,6.2,0.244,0.402,0.297,0.699,71,76,542,11,8,3.54,134,72,158,407,337,1040,1948,341,0,0.248,0.411,0.304,0.313,0.302,32.1,10.4,7,46.4,79.24964852,95.08994015,24.6,51.6,46.4,95,2211,-13,-18.1,1.1,20.4,84.5,2249,1,-38.5,11.4,87.2,1970,-17.7,-36.6,,,,,,21.9,94.8,2035,-18.6,-26.9,,,,,,,,,,,,,,,,,,,
"Kirby, George",669923,2025,126,524,121,15,137,26.1,5.5,0.252,0.392,0.3,0.692,59,60,378,10,8,4.21,92,60,97,337,233,726,1360,247,0,0.252,0.391,0.3,0.305,0.303,35.3,8.5,6,43.9,80.56301471,94.70468713,26.7,49,29,96.2,2283,-10.1,-16.2,1.1,27.4,87.2,2369,10.7,-39.3,2.2,87.8,1423,-15.5,-29.6,12.1,84.4,2377,9.5,-51.4,26.7,96.2,2256,-16.7,-20.7,,,,,,2.7,86,918,-11.5,-35.4,,,,,,,,,
"Skenes, Paul",694973,2025,187.2,733,136,11,216,29.5,5.7,0.199,0.307,0.251,0.558,41,45,563,10,10,1.97,135,41,127,464,399,1045,1952,414,0,0.203,0.313,0.247,0.253,0.256,29.4,5.8,5.1,40.1,75.47852,93.88470856,30.1,49.6,39.6,98.2,2256,-14,-16.9,1,5.7,85.3,2318,3.3,-30.3,10.9,88.7,1808,-16.6,-29.6,4.7,83.9,2439,6.2,-41.5,9.6,97.6,2269,-17.6,-22.6,,,,,,13.6,93.7,1678,-13.4,-31.1,,,,,,84.4,2333,11.4,-32.8
"Luzardo, Jesús",666200,2025,183.2,758,167,16,216,28.5,7.5,0.24,0.356,0.299,0.655,80,85,551,15,7,3.92,122,72,133,515,383,1058,1955,408,0,0.23,0.349,0.29,0.284,0.291,34.2,6.6,6.4,37.1,77.48993899,93.77929743,30.8,47.8,34.1,96.5,2238,12.1,-15.6,1.3,7.7,86.5,2384,-0.1,-36,17.3,87.9,1929,16.5,-28.3,,,,,,10,95.8,2233,17.1,-21.9,,,,,,,,,,,,,,,,86.1,2282,-9,-37.2
